0;Always;0;
1;Bed of Roses;0;
2;I Don't Want To Miss a Thing;0;
3;One;1;
4;Aces High;1;
5;Hallowed Be Thy Name;1;
6;Moanin' for You;2;
7;What a Wonderful World;2;
8;At Last;2;
9;Desafinado;3;
10;Mas Que Nada;3;
11;O Barquinho;3;
12;Tu Me Cambiaste la Vida;4;
13;Porque te vas;4;
14;Todo Cambio;4;
15;Un Ex de Verdad;5;
16;Take On Me;5;
17;Love Yourself;5;
18;Baby Got Back;6;
19;The Breaks;6;
20;Rosa Parks;6;
21;I Shot The Sheriff;7;
22;No Woman No Cry;7;
23;Bastara;7;
24;Amorfoda;8;
25;Baby Otaku;8;
26;Bebesita Bebe Lean;8;
27;Hurt;9;
28;Lay Lady Lay;9;
29;De Ruada;9;
30;Periodico de Ayer;10;
31;El Preso;10;
32;Aguanile;10;
33;Visa Para un Sueno;11;
34;La Cosquillita;11;
35;La Bicicleta;11;
36;El Arbolito;12;
37;Tu Ausencia;12;
38;Cerveza;12;
40;Livin' On A Prayer;0;
41;Smoke on the Water;0;
42;Lamento Boliviano;0;
43;Seven Nation Army;0;
44;Paint It Black;0;
45;Shy;0;
46;Destiny;0;
47;Replica;0;
48;Estrechez de Corazon;0;
50;Snow (Hey Oh);0;
51;Time;0;
52;Can't Stop;0;
53;Otherside;0;
54;By the Way;0;
55;Aces High;1;
56;Enter Sandman;1;
57;Nothing Else Matters;1;
58;The Trooper;1;
59;Fear Of the Dark;1;
60;The Day That Never Comes;1;
61;Question;1;
62;Por Siempre;1;
63;Tarde O Temprano;1;
64;Hijo de la Guerra;1;
65;The Phantom Of The Opera;1;
66;Breaking The Law;1;
67;Painkiller;1;
68;Angel;1;
69;Electric Eye;1;
70;A llorar a otra parte;12;
71;Lo siento;12;
72;Ay carino;12;
73;Cuatro Mentiras;12;
74;Otra noche;12;
75;No me arrepiento de este amor;12;
76;Por que te fuiste;12;
77;Volveras;12;
78;Baila esta cumbia;12;
79;But Not For Me;2;
80;Senor Mouse;2;
81;All The Things You Are;2;
82;Chloe;2;
83;Four;2;
84;Autumn Leaves;2;
85;My Foolish Hear;2;
86;Es por Ti;5;
87;As Long As You Love Me;5;
88;Bonito;5;
89;No me crees;5;
90;Shape of You;5;
91;Sugar;5;
92;Thriller;5;
93;Dancing Queen;5;
94;Es por Ti;5;
95;License to Kill;9;
96;Hurt;9;
97;Holocene;9;
98;Wash;9;
99;Jokerman;9;
100;Samain Night;9;
101;Beach Baby;9;
102;Anthem;9;
103;El desconfiado;9;
104;Oh, Rock My Soul;9;
105;Bridge of Bones;9;
106;Las avispas;11;
107;Guallando;11;
108;El baile del perrito;11;
109;La ventanita;11;
110;El africano;11;
111;Ojala que llueva cafe;11;
112;Pegame tu vicio;11;
113;Procura;11;
114;Let it Be;0;
115;Hotel California;0;
116;I can´t get no;0;
117;Bohemian Rhapsody;0;
118;La flaca;0;
119;Decir Adios;0;
120;Narcisista;0;
121;Purple Haze;0;
122;Forgive me;0;
123;Jailhouse Rock;0;
124;Roxanne;0;
125;Oh Pretty Woman;0;
126;With or Without You;0;
127;Still Loving You;0;
128;Send me an angel;0;
129;Always Somewhere;0;
130;Hotel California;0;
131;Stairway to Heaven;0;
132;Heaven;0;
133;Beautiful day;0;
134;Like a Rolling Stone;0;
135;Respect;0;
136;Yesterday;0;
137;Survive;0;
138;Good Vibrations;0;
139;Hey Jude;0;
140;Image;0;
141;Crying;0;
142;Whole Lotta Love;0;
143;Te quiero;0;
144;Crazy;0;
145;Wind of change;0;
146;Run to the Hills;1;
